Neighborhood Tabulation Area (NTA) (2020),business count per NTA,Average Total Savings,Average Job created
BK0101,78,10367.961794871795,5.333333333333333
BK0102,9,12599.753333333334,7.5
BK0103,7,19150.92285714286,
BK0104,104,21158.253076923076,10.38888888888889
BK0201,11,15102.036363636364,
BK0202,39,74011.2558974359,
BK0203,8,54292.524999999994,300.0
BK0261,40,12876.958499999999,
BK0301,12,57934.14166666666,4.0
BK0401,7,6128.9400000000005,7.0
BK0502,21,13810.223333333333,
BK0503,27,62669.078888888886,59.285714285714285
BK0504,6,35063.956666666665,
BK0601,84,25358.179523809526,10.777777777777779
BK0701,5,68502.11,
BK0702,259,17596.18857142857,7.666666666666667
BK0802,44,3620.966590909091,
BK1202,7,9642.914285714285,13.0
BK1302,5,36414.18,
BK1403,7,388946.3071428571,
BK1602,18,-3744.1044444444437,13.75
BK1701,5,12049.102,
BK1702,9,37681.06555555555,11.0
BK1704,5,484.25600000000003,
BK1801,5,610.958,
BK1803,9,14783.474444444444,8.333333333333334
BX0101,58,17226.212931034483,9.636363636363637
BX0201,119,21078.529495798317,7.823529411764706
BX0302,10,36005.304000000004,7.0
BX0703,10,327206.672,
BX1001,17,10510.395882352941,5.0
BX1102,8,726343.1799999999,
BX1161,9,13164.977777777778,200.0
BX1202,7,20566.815714285713,
MN0101,30,431063.85866666667,
MN0102,15,47655.74800000001,2.0
MN0401,16,16967.113125,5.0
MN0501,6,17841.953333333335,4.0
MN0502,10,33844.037,
MN0902,49,2398.261224489796,5.0
MN1001,5,20202.420000000002,
MN1102,16,8909.400625,4.0
MN1201,5,1442.358,
QN0101,37,14292.983783783784,14.285714285714286
QN0103,16,14084.895625,2.0
QN0104,11,25843.476363636364,7.666666666666667
QN0105,87,59201.95804597701,11.666666666666666
QN0161,20,2489.384,
QN0201,176,27410.526875000003,11.142857142857142
QN0202,174,13586.924022988505,13.88888888888889
QN0203,22,6549.47090909091,10.0
QN0261,7,3965.347142857143,30.0
QN0402,11,18855.50909090909,5.0
QN0501,69,13278.137101449274,11.470588235294118
QN0502,17,11908.803529411765,3.0
QN0503,10,5468.0599999999995,10.0
QN0602,5,9785.966,
QN0701,44,33604.16977272727,10.0
QN0702,5,96554.236,
QN0707,16,17201.287500000002,
QN0902,11,11662.949090909091,6.0
QN0904,12,1739.5158333333336,
QN1002,9,6022.731111111111,
QN1201,11,7259.248181818181,20.0
QN1203,5,16923.03,
QN1205,9,27353.428888888888,
QN1303,10,3592.2110000000002,10.0
QN1305,5,166379.352,
QN1306,25,21160.5052,
SI0106,7,6338.2528571428575,5.0
SI0107,15,113610.15999999999,150.0
SI0204,12,605464.8391666667,
